FAP_2021,Intitulé FAP,Rome,Qualification,Intitulé Rome,,,,,
A0X40,Agriculteurs,A1416,Q_0123456,"Polyculture, élevage",,,,,
A0X41f,Aides d'éleveurs,A1403,,Aide d'élevage agricole et aquacole,,,,,
A0X41a,Eleveurs de bovins ou d'équins,A1407,,Élevage bovin ou équin,,,,,
A0X41b,"Eleveurs d'insectes, d'animaux sauvages ou de compagnie",A1408,,Élevage d'animaux sauvages ou de compagnie,,,,,
A0X41c,Eleveurs de lapins et volailles,A1409,,Élevage de lapins et volailles,,Rang,Code ROME,Intitulé ROME,Commentaire Stratégique
A0X41d,Eleveurs d'ovins ou de caprins,A1410,,Élevage ovin ou caprin,,1,M1302,Direction de petite ou moyenne entreprise,"Ton cœur de cible. Correspond parfaitement à ton expérience de PDG (Vers la Terre, Imisiba) et ta capacité à gérer P&L, RH et Stratégie33333333.
+3"
A0X41e,Eleveurs de porcins,A1411,,Élevage porcin,,2,A1303,Ingénierie en agriculture et environnement naturel,"Ton expertise métier actuelle. Indispensable pour valoriser tes compétences en agroécologie, sols vivants et gestion des biodéchets444444444.
+2"
A0X42a,Bûcherons et élagueurs,A1201,,Bûcheronnage et élagage,,3,M1402,Conseil en organisation et management d'entreprise,"Ton rôle de consultant. Idéal pour vendre tes audits stratégiques et ta capacité à redresser/structurer des organisations (ex: Zion Holding, France Perfusion)5555.
+1"
A0X42b,"Sylviculteurs, agents forestiers et agents de protection des espaces naturels",A1204,Q_123456,Protection du patrimoine naturel,,4,K1802,Développement local,"Le pivot ""Impact"". Correspond à tes missions de résilience territoriale, économie circulaire et projets avec bailleurs (Enabel, UE)6666.
+1"
A0X42b,"Sylviculteurs, agents forestiers et agents de protection des espaces naturels",A1205,,Sylviculture,,5,K2306,Supervision d'exploitation éco industrielle,"Ta niche technique. Cible directement tes compétences en gestion industrielle des déchets, STEP et unités de lombricompostage7777.
+1"
A0X43,Conducteurs d'engins agricoles ou forestiers,A1101,,Conduite d'engins d'exploitation agricole et forestière,,6,K2111,Formation professionnelle,"Ta compétence transverse. Tu as créé des centres, géré Datadock/Qualiopi et conçu de l'ingénierie pédagogique. À utiliser pour des postes de Direction de formation8888.
+1"
A1X40,Maraîchers et horticulteurs,A1402,,Aide agricole de production légumière ou végétale,,7,H2502,Management et ingénierie de production,"L'approche industrielle. Valide ta capacité à piloter des process de transformation (biomasse, brasserie) avec des exigences de rendement et qualité9999.
+1"
A1X40,Maraîchers et horticulteurs,A1414,,Horticulture et maraîchage,,8,M1803,Direction des systèmes d'information,"Ton atout ""Tech"". Ne le néglige pas. Ta capacité à gérer des projets IT complexes (SaaS, IoT, E-santé) te distingue des agronomes classiques10101010.
+1"
A1X41,Jardiniers des espaces verts et naturels,A1202,,Entretien des espaces naturels,,9,M1802,Conseil et maîtrise d'ouvrage en systèmes d'information,"Le lien Métier/Tech. Correspond exactement à ton rôle d'AMOA (Cahier des charges, Offline-First, ERP Agricole)11111111.
+1"
A1X41,Jardiniers des espaces verts et naturels,A1203,,Entretien des espaces verts,,10,K1401,Conception et pilotage de la politique des pouvoirs publics,"L'ambition institutionnelle. Pour viser des postes de coordination de programmes (ONU, Ministères) en lien avec tes aspirations internationales12."
A1X41,Jardiniers des espaces verts et naturels,F1101,Q_0123456,Architecture du BTP*,,11,H1302,Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels,"La conformité. S'appuie sur tes audits (Sunstone) et ta maîtrise des normes (ISO 14001, HACCP)13131313.
+1"
A1X42,"Viticulteurs, arboriculteurs",A1401,,Aide agricole de production fruitière ou viticole,,12,K2103,Direction d'établissement et d'enseignement,Gestionnaire éducatif. Logique suite à la création et gestion administrative/financière de tes centres de formation14.
A1X42,"Viticulteurs, arboriculteurs",A1405,,Arboriculture et viticulture,,13,A1301,Conseil et assistance technique en agriculture,"L'expert terrain. Pour des missions plus opérationnelles de déploiement de solutions (Biochar, LiFoFer) auprès de coopératives15151515.
+1"
A2X70a,Techniciens et agents de conseil et assistance technique en agriculture,A1301,Q_012345678,Conseil et assistance technique en agriculture,,14,K2302,Management et inspection en environnement urbain,"Gestion des déchets urbains. Colle à ton expérience à Bujumbura (déchets de marché, plastique) et gestion des services urbains16161616.
+1"
A2X70b,Techniciens et agents de contrôle et diagnostic technique en agriculture,A1302,Q_012345678,Contrôle et diagnostic technique en agriculture,,15,M1301,Direction de grande entreprise ou d'établissement public,"Le plafond de verre. À cibler si tu vises des directions de filiales ou de gros programmes internationaux, justifié par ta gestion de croissance rapide17171717.
+2"
